title,href,body
Current information and notes | DHL,https://www.dhl.de/en/privatkunden/information/aktuelles.html,Below we would like to inform you about the current ramifications on shipping and delivery by Deutsche Post and DHL as a result of national and international events that may impact transportation processes.
DHL Logistics of Things | Insights into the world of logistics,https://lot.dhl.com/,Battery energy storage systems and DHL New Energy Logistics are bridging the gap between renewable electricity generation and demand.
"DHL: News und aktuelle Meldungen zum Logistik- und Transportunternehmen - Paketdienste,Zoll (allg., nicht Zoll-Software) | News | TRANSPORT - die Zeitung für den Güterverkehr (Lkw, Speditionen, Fuhrpark, Nutzfahrzeuge, Verkehrspolitik, Wirtschaft)",https://transport-online.de/news/dhl-geschaeftskunden-versand-die-usa-laeuft-wieder-mit-zollaufschlaegen-183900.html,"4 weeks ago - Diese Investition zahlt direkt auf die Strategie 2030 der DHL Group ein, in der New Energy ein entscheidender Wachstumstreiber für unser Geschäft – auch in Europa – ist.“ · Der neue Standort ist auf die Anforderungen dieser komplexen und streng regulierten Lieferketten ausgelegt und bietet ein breites Spektrum an Mehrwertdienstleistungen. Dazu zählen die Lagerung von Batterieeinheiten, Diagnose- und Leistungstests, das Laden und Konditionieren, die Instandsetzung, Reverse Logistics sowie die Vorbereitung für das Recycling."
DHL distances itself from historic Deutsche Post name - FreightWaves,https://www.freightwaves.com/news/dhl-distances-itself-from-historic-deutsche-post-name,"May 6, 2026 - DHL shareholders on Tuesday approved ... Germany unit, which will be rebranded as Deutsche Post AG. Deutsche Post acquired U.S. logistics company DHL (XETRA: DHL) in 2002 after ......"
Pressemitteilungen - DHL Group,https://group.dhl.com/de/presse/pressemitteilungen.html,Aktuelle Konzernnachrichten von DHL Group.
DHL Group - Investors - DHL Group,https://group.dhl.com/en/investors.html,"Find out in more detail why you should invest in DHL Group. ... EBIT/revenue. ... After deduction of noncontrolling interests. ... Prior-year figure as of December 31. ... Basic earnings per share. ... Headcount at the end of the quarter, including trainees. ... Our corporate newsletter keeps you informed about important information about DHL Group."
,https://www.logisticsmanager.com/dhl-plans-healthcare-logistics-hub-at-infinity-park-derby/https://eu2-browse.startpage.com/av/proxy?ep=4c42594d556a6f44456e526c4f57705a59424146526c775455574166446a592f437a734352555a615955554651537342547a49354657705a594646666241595553693864456e772b48533448556c315559566b4243794963426a676c444359495652686664556c4a527a70654344387745534543556b776163456f5754574d5842434d304157705a59424e455056774252476747425441694758494b4631634259303164457938574244426d51537064516746564d4270645279394c416d526a5153734a46424e4463785970636931484c4155784151492f5255783555513558596d74414a58636c43484a61514659504e6b3954464370435547566853585a53464641455a527851456e314242474a765358344f45684e4150573046536a3057&ek=5753746o4n6o357n59564657654539724n6n5533&ekdata=2187067284d30f9ea51d2a04b6bcc929&sc=maXqNizpm0uoiL4EfOhJxC7nBz1cDDO2DE44LPLMPGEljrTHmyFZbMwBJcCVZPyQFV1syvHHabZWZ7,.css-1qle3fm{margin:0 5px 0 0;white-space:pre;overflow:hidden;text-overflow:ellipsis;}Logistics Manager·.css-1rivbqr{margin:0 0 0 5px;white-space:nowrap;}1d
,https://www.taiwannews.com.tw/en/news/6379526https://eu2-browse.startpage.com/av/proxy?ep=4c42594d556a6f44456e526c4f57705a59424146526c775455574148414467684753454651304a454c6b674c53324148466e526b50696f4641776478626b3454565774424a32646c54335a6546414d5263785954517978564644553344433557513145444f42315146336844566d457a546e6466467763455a52685552436758417a566a51485a5a464641526446685a61786f5156527743487a596d636c5a4f546e70424651705755685677437a395746314e554f423041455877585547426954333553487764534d303554456e7041557a526c5158356151774552647859695279494142413d3d&ek=5753746o4n6o357n59564657654539724n6n5533&ekdata=ad579e892da692d742b54f8c965283c7&sc=maXqNizpm0uoiL4EfOhJxC7nBz1cDDO2DE44LPLMPGEljrTHmyFZbMwBJcCVZPyQFV1syvHHabZWZ7,Taiwan News·9d
DHL Supply Chain,https://en.wikipedia.org/wiki/DHL_Supply_Chain,"DHL Supply Chain is a division of Deutsche Post DHL and is affiliated with DHL. Headquartered in Bonn, Deutsche Post has 510,000 employees.In 2016, DHL Supply Chain was primarily competing in strategic life sciences and healthcare, automotive and technology sectors of the market. The automotive sector, with its Lead Logistics Provider (LLP) service, has been shifting to China, India and Mexico as those countries become significant vehicle and parts manufacturers. In Canadian and USA markets DHL Supply Chain operated under the name Exel until January 2016.In 2016, the DHL Supply Chain division's revenue decreased by 11.6% to €14.0 billion versus 2015, but operating profit improved by 27.4% to €572 million."
DHL Supply Chain - Wikipedia,https://de.wikipedia.org/wiki/DHL_Supply_Chain,DHL Supply Chain ist ein Geschäftsbereich der Deutschen Post und mit rund 146.000 Mitarbeitern sowie einen Umsatz von mehr als vierzehn Milliarden Euro im Jahr 2017 das größte Unternehmen im Bereich der Kontraktlogistik mit weltweiter Präsenz. [1][2][3]
DHL Supply Chain - Wikipedia,https://en.m.wikipedia.org/wiki/DHL_Supply_Chain,"DHL Supply Chain is a division of Deutsche Post DHL and a global leader in logistics. Learn about its origins, mergers, acquisitions, sectors, revenue, headquarters and more from this Wikipedia article."
DHL Supply Chain – Wikipedia,https://de.m.wikipedia.org/wiki/DHL_Supply_Chain,DHL Supply Chain ist ein Geschäftsbereich der Deutschen Post und mit rund 146.000 Mitarbeitern sowie einen Umsatz von mehr als vierzehn Milliarden Euro im Jahr 2017 das größte Unternehmen im Bereich der Kontraktlogistik mit weltweiter Präsenz. [1][2][3]
DHL Group - Wikipedia,https://en.wikipedia.org/wiki/DHL_Group,"Deutsche Post AG trading as DHL Group, is a German multinational package delivery and supply chain management company headquartered in Bonn, Germany."
DHL Supply Chain – The world's leading contract logistics provider,https://www.dhl.com/us-en/home/supply-chain.html,"DHL Supply Chain World's leading contract logistics provider To maximize the value of your supply chain, you need a reliable logistics partner whose excellent support is available wherever you need it – whether that's locally or on the other side of the world.······"
My Supply Chain - DHL Supply Chain - United States of America,https://www.dhl.com/us-en/home/supply-chain/mysupplychain.html,"MySupplyChain is the DHL Supply Chain portal for order tracking, operational reporting, document storage, insights and more. Log in to MySupplyChain. Gain near real-time visibility of your warehouse and transport operations and insights into your warehouse product stock levels."
